Package name,Severity,Affected version,Discloded date,Published date,FirstAffectedRelease_Date,FirstFixedRelease_Date,Disclosed VS First Affected,Published VS Disclosed
graphite-web,M,"[0.9.5,0.9.11)",7/8/2013,7/8/2013,7/1/2010,8/20/2013,36,0
hpack,H,"[,2.3.0)",4/8/2016,4/8/2016,4/13/2015,4/8/2016,12,0
html5lib,M,"[,0.99999999), [1.0b1,1.0b9)",10/4/2013,10/4/2013,6/30/2013,7/14/2016,3,0
httplib2,L,"[,0.9)",1/18/2014,1/18/2014,8/28/2012,4/14/2014,17,0
ipython,M,"[,3.2.0)",6/22/2015,6/22/2015,1/31/2006,6/22/2015,113,0
ipython,M,"[,3.2.0)",6/22/2015,6/22/2015,1/31/2006,6/22/2015,113,0
ipython,M,"[,3.2.1)",8/7/2015,8/7/2015,1/31/2006,12/7/2015,114,0
ipython,M,"[2,4.0)",8/8/2016,8/8/2016,2/4/2014,12/8/2015,30,0
ipywidgets,M,"[5,5.1.5)",5/19/2016,5/19/2016,4/15/2016,5/25/2016,1,0
jinja2,M,"[,2.7.2)",10/1/2014,10/1/2014,9/6/2008,10/1/2014,73,0
jwcrypto,M,"[,0.3.2)",8/31/2016,8/31/2016,6/16/2015,11/29/2016,14,0
kallithea,M,"[,0.3.2)",4/19/2016,4/19/2016,4/7/2014,2/5/2016,24,0
kallithea,H,"[,0.3.2)",4/19/2016,4/19/2016,4/7/2014,2/5/2016,24,0
keyring,M,"(,0.9]",11/1/2011,11/1/2011,8/21/2009,3/6/2012,26,0
keyring,M,"[0,0.9.2]",11/28/2011,11/28/2011,8/21/2009,11/29/2012,27,0
keyring,M,"[0.9.2,1.1]",11/28/2011,11/28/2011,6/18/2012,2/1/2013,0,0
keystonemiddleware,L,"[1.0.0,1.2.0)",9/25/2014,9/25/2014,3/7/2014,9/25/2014,7,0
keystonemiddleware,L,"[1.0.0,1.6.0)",4/17/2015,4/17/2015,3/7/2014,4/21/2015,13,0
kss.core,M,"[1.2-alpha2,1.6.5)",5/11/2011,5/11/2011,10/2/2007,12/15/2012,43,0
logilab-common,M,"[0.38.1,0.61.0)",1/30/2014,1/30/2014,2/3/2009,11/2/2014,60,0
logilab-common,M,"[0.38.1,0.61.0)",1/30/2014,1/30/2014,2/3/2009,11/2/2014,60,0
lxml,M,"[,3.3.5)",4/15/2014,4/15/2014,3/20/2006,4/18/2014,97,0
mako,M,"[,0.3.4)",6/30/2010,6/30/2010,12/31/2006,6/22/2010,42,0
manila-ui,M,"[,2.6.0)",6/30/2016,6/30/2016,4/29/2015,1/23/2017,14,0
markdown2,M,*,1/17/2018,1/19/2018,9/9/2008,,112,0
mercurial,H,"[,3.2.4)",3/27/2015,3/27/2015,9/5/2006,1/1/2015,103,0
mercurial,M,"[2.6.2,3.8.1)",6/4/2016,6/4/2016,11/7/2013,1/5/2016,31,0
mercurial,H,"[2.7.0,3.7.3)",3/16/2016,3/16/2016,2/8/2013,3/29/2016,37,0
mercurial,M,"[2.7.0,3.7.3)",3/20/2016,3/20/2016,2/8/2013,3/29/2016,37,0
mercurial,M,"[2.7.0,3.7.3)",3/20/2016,3/20/2016,2/8/2013,3/29/2016,37,0
mistune,M,"[,0.8.1)",11/19/2017,7/12/2017,2/18/2014,7/11/2017,45,0
mod_wsgi,H,"[4.1.0,4.2.4)",5/4/2016,5/4/2016,5/23/2014,6/18/2014,23,0
moin,M,"[,1.7.3), [1.8,1.8.8), [1.9,1.9.3)",8/5/2010,8/5/2010,6/9/2009,7/2/2012,14,0
moin,M,"[,1.7.3), [1.9,1.9.3)",8/5/2010,8/5/2010,6/9/2009,7/2/2012,14,0
moin,H,"[,1.8.7)",2/26/2010,2/26/2010,6/9/2009,2/14/2010,9,0
moin,M,"[,1.8.7), [1.9,1.9.2)",2/26/2010,2/26/2010,6/9/2009,1/3/2010,9,0
moin,H,"[,1.8.7), [1.9,1.9.2)",2/26/2010,2/26/2010,6/9/2009,1/3/2010,9,0
moin,M,"[,1.9.1)",1/18/2010,1/18/2010,6/9/2009,1/18/2010,7,0
moin,L,"[,1.9.3)",4/5/2010,4/5/2010,6/9/2009,7/2/2012,10,0
moin,L,"[,1.9.3)",2/21/2011,2/21/2011,6/9/2009,7/2/2012,20,0
moin,M,"[,1.9.5)",8/12/2012,8/12/2012,6/9/2009,9/24/2012,38,0
moin,M,"[,1.9.6)",2/24/2016,2/24/2016,6/9/2009,12/29/2012,80,0
moin,M,"[,1.9.6)",12/29/2012,12/29/2012,6/9/2009,12/29/2012,43,0
moin,M,"[,1.9.8)",1/11/2016,1/11/2016,6/9/2009,10/17/2014,79,0
moin,M,"[,1.9.9)",1/11/2016,1/11/2016,6/9/2009,10/31/2016,79,0
moin,M,"[,1.9.9)",1/11/2016,1/11/2016,6/9/2009,10/31/2016,79,0
moin,M,"[1.9,1.9.3)",8/5/2010,8/5/2010,5/12/2009,7/2/2012,15,0
moin,M,"[1.9,1.9.5)",10/9/2012,10/9/2012,5/12/2009,9/24/2012,41,0
moin,M,"[1.9.3,1.9.6)",12/29/2012,12/29/2012,7/2/2012,12/29/2012,6,0
murano-dashboard,H,"[2014.0.0,2015.1.1)",5/26/2016,5/26/2016,12/15/2014,8/6/2016,17,0
mwlib,M,"[,0.13.5)",2/29/2012,2/29/2012,9/25/2007,2/29/2012,53,0
mysql-connector,M,"[,2.1.3]",9/22/2016,9/22/2016,5/30/2016,8/20/2016,4,0
notebook,M,"[,4.2.2)",7/26/2016,7/26/2016,4/21/2015,3/8/2016,15,0
notebook,M,"[,4.3.1)",12/13/2016,12/13/2016,4/21/2015,12/21/2016,20,0
nova-lxd,M,"[,13.1.1)",1/31/2017,1/31/2017,11/12/2015,8/2/2017,15,0
numpy,M,"[,1.8.1)",6/2/2014,6/2/2014,3/14/2006,3/25/2014,99,0
openpyxl,M,"[1.1.0,2.4.1)",8/2/2017,8/2/2017,11/8/2010,11/23/2016,81,0
oslo.middleware,H,"[,3.23.0)",11/30/2016,11/30/2016,7/24/2014,1/18/2017,28,0
paste,M,"[,0.9.5)",6/19/2017,4/12/2017,3/10/2005,7/20/2006,147,0
pastescript,M,"[,1.7.5)",8/2/2012,8/2/2012,3/10/2005,7/11/2011,89,0
pillow,H,"(,2.5.0]",5/5/2014,5/5/2014,7/31/2010,10/7/2014,45,0
pillow,M,"[,2.3.1)",11/2/2014,11/2/2014,7/31/2010,3/15/2014,51,0
pillow,M,"[,2.3.1)",11/2/2014,11/2/2014,7/31/2010,3/15/2014,51,0
pillow,M,"[,2.3.2), [2.5,2.5.2)",2/22/2016,2/22/2016,7/31/2010,8/13/2014,67,0
pillow,M,"[,2.5.3)",2/22/2016,2/22/2016,7/31/2010,8/18/2014,67,0
pillow,M,"[,2.7.0)",2/17/2016,2/17/2016,7/31/2010,1/1/2015,67,0
pillow,M,"[,3.1.1)",2/23/2016,2/23/2016,7/31/2010,4/2/2016,67,0
pillow,M,"[,3.1.1)",2/23/2016,2/23/2016,7/31/2010,4/2/2016,67,0
pillow,M,"[,3.1.1)",2/29/2016,2/29/2016,7/31/2010,4/2/2016,67,0
pillow,H,"[,3.1.1)",5/11/2017,4/12/2017,7/31/2010,4/2/2016,81,0
pillow,M,"[,3.3.2)",5/10/2016,5/10/2016,7/31/2010,3/10/2016,69,0
pillow,H,"[,3.3.2)",11/4/2016,11/4/2016,7/31/2010,3/10/2016,75,0
pillow,M,"[2.5.0,3.1.2)",4/15/2016,4/15/2016,1/7/2014,1/4/2016,27,0
plone,M,"[,4.0)",6/11/2012,6/11/2012,10/10/2008,8/29/2010,44,0
plone,M,"[,4.1.3]",12/28/2011,12/28/2011,10/10/2008,8/2/2012,39,0
plone,M,"[,4.2)",5/31/2011,5/31/2011,10/10/2008,6/29/2012,32,0
plone,M,"[,4.2.3), [4.3,4.3b1)",6/11/2012,6/11/2012,10/10/2008,2/1/2013,44,0
plone,M,"[,4.2.3), [4.3,4.3b1)",6/11/2012,6/11/2012,10/10/2008,2/1/2013,44,0
plone,H,"[,4.2.3), [4.3,4.3b1)",6/11/2012,6/11/2012,10/10/2008,2/1/2013,44,0
plone,M,"[,4.2.3), [4.3,4.3b1)",6/11/2012,6/11/2012,10/10/2008,2/1/2013,44,0
plone,M,"[,4.2.3), [4.3,4.3b1)",6/11/2012,6/11/2012,10/10/2008,2/1/2013,44,0
plone,M,"[,4.2.3), [4.3,4.3b1)",6/11/2012,6/11/2012,10/10/2008,2/1/2013,44,0
plone,H,"[,4.2.3), [4.3,4.3b1)",6/11/2012,6/11/2012,10/10/2008,2/1/2013,44,0
plone,M,"[,4.2.3), [4.3,4.3b1)",6/11/2012,6/11/2012,10/10/2008,2/1/2013,44,0
plone,M,"[,4.2.3), [4.3,4.3b1)",6/11/2012,6/11/2012,10/10/2008,2/1/2013,44,0
plone,M,"[,4.2.3), [4.3,4.3b1)",6/11/2012,6/11/2012,10/10/2008,2/1/2013,44,0
plone,L,"[,4.2.3), [4.3,4.3b1)",6/11/2012,6/11/2012,10/10/2008,2/1/2013,44,0
plone,M,"[,4.2.3), [4.3,4.3b1)",6/11/2012,6/11/2012,10/10/2008,2/1/2013,44,0
plone,M,"[,4.2.3), [4.3,4.3b1)",6/11/2012,6/11/2012,10/10/2008,2/1/2013,44,0
plone,M,"[,4.2.3), [4.3,4.3b1)",6/11/2012,6/11/2012,10/10/2008,2/1/2013,44,0
plone,M,"[,4.2.3), [4.3,4.3b1)",6/11/2012,6/11/2012,10/10/2008,2/1/2013,44,0
plone,M,"[,4.2.3), [4.3,4.3b1)",6/11/2012,6/11/2012,10/10/2008,2/1/2013,44,0
plone,M,"[,4.2.3), [4.3,4.3b1)",6/11/2012,6/11/2012,10/10/2008,2/1/2013,44,0
plone,M,"[,4.2.3), [4.3,4.3b1)",6/11/2012,6/11/2012,10/10/2008,2/1/2013,44,0
plone,M,"[,4.2.3), [4.3,4.3b1)",6/11/2012,6/11/2012,10/10/2008,2/1/2013,44,0
plone,M,"[,4.2.5), [4.3,4.3.1)",1/8/2013,1/8/2013,10/10/2008,5/31/2013,51,0
plone,M,"[,4.2.5), [4.3,4.3.1)",1/8/2013,1/8/2013,10/10/2008,5/31/2013,51,0
plone,M,"[,4.2.5), [4.3,4.3.1)",1/8/2013,1/8/2013,10/10/2008,5/31/2013,51,0
plone,M,"[,4.2.5), [4.3,4.3.1)",1/8/2013,1/8/2013,10/10/2008,5/31/2013,51,0
plone,M,"[,4.2.5), [4.3,4.3.1)",1/8/2013,1/8/2013,10/10/2008,5/31/2013,51,0
plone,M,"[,4.2.5), [4.3,4.3.1)",1/8/2013,1/8/2013,10/10/2008,5/31/2013,51,0
plone,M,"[,4.2.5), [4.3,4.3.1)",1/8/2013,1/8/2013,10/10/2008,5/31/2013,51,0
plone,M,"[,4.2.5), [4.3,4.3.1)",1/8/2013,1/8/2013,10/10/2008,5/31/2013,51,0
plone,M,"[,4.2.5), [4.3,4.3.1)",1/8/2013,1/8/2013,10/10/2008,5/31/2013,51,0
plone,L,"[,4.2.5), [4.3,4.3.1)",1/8/2013,1/8/2013,10/10/2008,5/31/2013,51,0
plone,M,"[,4.2.5), [4.3,4.3.1)",1/8/2013,1/8/2013,10/10/2008,5/31/2013,51,0
plone,M,"[,4.2.5), [4.3,4.3.1)",1/8/2013,1/8/2013,10/10/2008,5/31/2013,51,0
plone,H,"[,4.3.7)",10/9/2015,10/9/2015,10/10/2008,9/28/2015,84,0
plone,M,"[,4.3.7)",10/9/2015,10/9/2015,10/10/2008,9/28/2015,84,0
